Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=c0ed7df2bb82f9c6f8fa4ee1c1f14d13&SERIES_KEY=42.FM.B.U2.EUR.BL.SO.EESWE2_BGN.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.U2.EUR.BL.SO.EESWE2_BGN.HST
,"Euro area (changing composition) - Overnight interest rate swaps - EUR Overnight Index Swap (ESTR) 2Y - Historical close - Euro, provided by Bloomberg Finance L.P."
Collection:,End of period (E)
Period\Unit:,[Percent per annum ]
,,obs. status,obs. confidentiality,obs. comment
2023-10-11,3.4575000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-10,3.4253000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-09,3.3980000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-06,3.4920000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-05,3.4890000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-04,3.5320000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-03,3.5728000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-02,3.5655000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-29,3.5487000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-28,3.6145000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-27,3.5820000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-26,3.5650000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-25,3.5620000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-22,3.5830000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-21,3.5840000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-20,3.5810000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-19,3.6210000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-18,3.5947000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-15,3.5595000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-14,3.5170000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-13,3.5385000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-12,3.5245000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-11,3.4660000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-08,3.4500000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-07,3.4420000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-06,3.4570000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-05,3.4300000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-04,3.4200000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-01,3.3850000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-31,3.3685000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-30,3.4920000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-29,3.4662000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-28,3.4840000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-25,3.4729000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-24,3.4090000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-23,3.3872000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-22,3.5180000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-21,3.5461000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-18,3.4990000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-17,3.5520000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-16,3.5398000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-15,3.5630000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-14,3.5250000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-11,3.5093000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-10,3.4520000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-09,3.4295000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-08,3.4095000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-07,3.4495000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-04,3.4590000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-03,3.4500000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-02,3.4350000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-01,3.4740000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-31,3.4570000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-28,3.4800000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-27,3.5140000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-26,3.5605000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-25,3.4970000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-24,3.4955000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-21,3.5550000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-20,3.5810000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-19,3.5260000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-18,3.5160000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-17,3.5980000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-14,3.6150000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-13,3.5580000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-12,3.6320000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-11,3.7110000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-10,3.7003000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-07,3.6737000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-06,3.7158000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-05,3.6395000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-04,3.6407000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-03,3.6740000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-30,3.6080000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-29,3.6210000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-28,3.5378000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-27,3.5700000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-26,3.5010000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-23,3.5280000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-22,3.6210000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-21,3.5420000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-20,3.5080000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-19,3.5550000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-16,3.5130000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-15,3.5043000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-14,3.4160000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-13,3.3795000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-12,3.3138000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-09,3.3200000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-08,3.3250000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-07,3.3577000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-06,3.2720000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-05,3.3260000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-02,3.2690000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-01,3.1950000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-31,3.2160000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-30,3.2820000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-29,3.3930000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-26,3.4360000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-25,3.4223000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-24,3.3630000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-23,3.3243000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-22,3.3104000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-19,3.2920000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-18,3.2787000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-17,3.2330000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-16,3.1690000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-15,3.1270000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-12,3.1370000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-11,3.0720000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-10,3.0932000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-09,3.1660000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-08,3.1360000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-05,3.1050000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-04,3.0250000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-03,3.1810000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-02,3.1580000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-28,3.2140000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-27,3.3040000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-26,3.2917000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-25,3.3220000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-24,3.4365000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-21,3.3855000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-20,3.3830000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-19,3.4180000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-18,3.3755000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-17,3.3200000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-14,3.3200000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-13,3.2260000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-12,3.2638000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-11,3.1770000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-07,3.0468000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-06,3.0443000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-05,3.0245000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-04,3.0950000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-03,3.1525000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-31,3.1760000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-30,3.1950000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-29,3.1080000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-28,3.0845000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-27,3.0300000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-24,2.9530000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-23,3.0110000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-22,3.1230000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-21,3.0908000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-20,2.8880000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-17,2.8900000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-16,3.1100000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-15,3.0745000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-14,3.3520000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-13,3.0990000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-10,3.4280000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-09,3.5980000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-08,3.7055000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-07,3.7010000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-06,3.6685000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-03,3.6110000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-02,3.6500000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-01,3.6330000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-28,3.5640000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-27,3.5120000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-24,3.4680000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-23,3.3540000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-22,3.3500000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-21,3.3780000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-20,3.3075000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-17,3.2780000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-16,3.2850000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-15,3.2610000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-14,3.2660000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-13,3.1810000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-10,3.1570000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-09,3.1090000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-08,3.0780000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-07,3.0860000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-06,3.0550000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-03,2.9900000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-02,2.9243000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-01,3.0770000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-31,3.0635000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-30,3.0730000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-27,2.9995000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-26,2.9840000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-25,2.9480000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-24,2.9650000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-23,3.0020000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-20,2.9595000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-19,2.9060000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-18,2.8410000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-17,2.8320000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-16,2.9310000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-13,2.9470000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-12,2.9160000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-11,2.9232000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-10,3.0275000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-09,3.0100000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-06,2.9900000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-05,3.0285000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-04,2.9808000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-03,3.0570000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-02,3.0940000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-30,3.1520000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-29,3.1010000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-28,3.1133000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-27,3.1600000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-26,3.1180000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-23,3.1180000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-22,3.0440000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-21,3.0130000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-20,2.9810000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-19,2.9130000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-16,2.8800000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-15,2.8230000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-14,2.6090000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-13,2.6252000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-12,2.6750000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-09,2.6200000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-08,2.5985000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-07,2.5490000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-06,2.5680000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-05,2.6260000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-02,2.5880000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-01,2.5230000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-30,2.6163000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-29,2.6290000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-28,2.6840000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-25,2.6788000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-24,2.6210000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-23,2.6510000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-22,2.6160000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-21,2.6420000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-18,2.6332000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-17,2.6300000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-16,2.5650000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-15,2.6050000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-14,2.6720000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-11,2.6630000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-10,2.5838000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-09,2.6982000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-08,2.7830000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-07,2.7860000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-04,2.7760000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-03,2.7273000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-02,2.6420000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-01,2.6223000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-31,2.6240000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-28,2.5807000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-27,2.3455000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-26,2.5680000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-25,2.6080000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-24,2.6827000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-21,2.7085000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-20,2.8530000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-19,2.7980000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-18,2.7200000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-17,2.7520000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-14,2.7450000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-13,2.7170000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-12,2.6640000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-11,2.6840000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-10,2.7228000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-07,2.7050000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-06,2.6000000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-05,2.4430000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-04,2.3273000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-03,2.4020000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-30,2.5547000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-29,2.5920000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-28,2.6400000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-27,2.7680000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-26,2.7490000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-23,2.6890000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-22,2.5620000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-21,2.5050000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-20,2.4210000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-19,2.3250000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-16,2.2530000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-15,2.2910000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-14,2.2020000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-13,2.1465000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-12,2.0180000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-09,2.0262000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-08,2.0324000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-07,1.8755000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-06,1.9270000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-05,1.9440000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-02,1.8425000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-01,1.9060000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-31,1.9350000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-30,1.8820000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-29,1.8570000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-26,1.7150000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-25,1.5550000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-24,1.6210000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-23,1.5430000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-22,1.5710000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-19,1.4410000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-18,1.3550000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-17,1.2990000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-16,1.1254000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-15,1.0820000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-12,1.1500000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-11,1.1130000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-10,1.0740000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-09,1.1000000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-08,1.0540000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-05,1.0910000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-04,0.9400000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-03,0.9770000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-02,0.9170000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-01,0.8590000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-29,0.8540000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-28,0.8630000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-27,1.0200000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-26,0.9188000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-25,0.9660000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-22,1.0070000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-21,1.2390000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-20,1.1590000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-19,1.1850000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-18,1.0650000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-15,1.0170000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-14,1.0750000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-13,0.9960000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-12,0.9070000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-11,0.9950000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-08,1.0650000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-07,1.0825000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-06,0.9255000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-05,0.9644000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-04,1.1161000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-01,1.0020000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-30,1.1180000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-29,1.3100000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-28,1.4080000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-27,1.3310000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-24,1.2229000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-23,1.2470000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-22,1.4750000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-21,1.5610000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-20,1.5590000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-17,1.4892000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-16,1.5810000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-15,1.5130000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-14,1.7330000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-13,1.5710000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-10,1.3739000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-09,1.2460000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-08,1.1040000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-07,1.0658000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-06,1.0712000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-03,1.0480000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-02,0.9910000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-01,0.9260000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-31,0.8622000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-30,0.8070000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-27,0.7200000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-26,0.7109000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-25,0.6990000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-24,0.7090000,Normal value (A),Not for publication, restricted for internal use only (N),
